rank,enr_contractor_name,search_term,procore_company_name,location,city,state,address,profile_url,joined_date,total_projects,active_projects,avg_project_size,procore_users,business_types,market_sectors,match_confidence
59,HASKELL,HASKELL,Haskell,"Atlanta, GA",Atlanta,GA,"2800 Century Pkwy NE Atlanta, GA 30345",https://network.procore.com/p/haskell-atlanta,October 2023,2,2,22500000,1,"Architect, Consultant, Engineer, General Contractor",Industrial and Energy,1.0
59,HASKELL,HASKELL,Haskell,"Phoenix, AZ",Phoenix,AZ,"2735 W Redwood Ln Phoenix, AZ 85045",https://network.procore.com/p/haskell-phoenix,April 2024,,,,1,Engineer,Industrial and Energy,1.0
59,HASKELL,HASKELL,Haskell,"Foley, AL",Foley,AL,"665 Parish Lakes Dr Foley, AL 36535",https://network.procore.com/p/haskell-foley,May 2024,3,3,30290726,1,General Contractor,Industrial and Energy,1.0
59,HASKELL,HASKELL,Haskell,"St Paul, MN",St Paul,MN,"60 Plato Blvd E Suite 300 St Paul, MN 55107",https://network.procore.com/p/haskell-st-paul,April 2022,15,11,46557753,1,Architect,"Commercial, Healthcare, Industrial and Energy, Institutional",1.0
59,HASKELL,HASKELL,Haskell,"Frisco, TX",Frisco,TX,"2591 Dallas Pkwy Frisco, TX 75034",https://network.procore.com/p/haskell-frisco-1,February 2024,,,,1,"Architect, Engineer, General Contractor","Commercial, Industrial and Energy, Infrastructure",1.0
59,HASKELL,HASKELL,HASKELL,"San Diego, CA",San Diego,CA,"8616 Octans St San Diego, CA 92126",https://network.procore.com/p/haskell-san-diego,September 2025,1,1,12000000,1,General Contractor,Commercial,1.0
59,HASKELL,HASKELL,Haskell,"Frisco, TX",Frisco,TX,"2591 Dallas Pkwy Suite 405 Frisco, TX 75034",https://network.procore.com/p/haskell-frisco,March 2023,1,,1144365,1,Architect,Commercial,1.0
59,HASKELL,HASKELL,The Haskell Company,"Jacksonville, FL",Jacksonville,FL,"111 Riverside Ave Jacksonville, FL 32202",https://network.procore.com/p/the-haskell-company-jacksonville-1,May 2023,36,28,23804830,1,General Contractor,"Commercial, Healthcare, Industrial and Energy",1.0
59,HASKELL,HASKELL,The Haskell Company,"Frisco, TX",Frisco,TX,"2591 Dallas Pkwy Frisco, TX 75034",https://network.procore.com/p/the-haskell-company-frisco,January 2024,9,8,10807500,1,General Contractor,"Commercial, Industrial and Energy",1.0
59,HASKELL,HASKELL,Haskell Corporation,"Bellingham, WA",Bellingham,WA,"1001 Meador Ave Bellingham, WA 98229",https://network.procore.com/p/haskell-corporation-bellingham,February 2024,,,,,,,1.0
59,HASKELL,HASKELL,The Haskell Company,"St Paul, MN",St Paul,MN,"60 Plato Blvd E St Paul, MN 55107",https://network.procore.com/p/the-haskell-company-st-paul,November 2023,,,,,,,1.0
59,HASKELL,HASKELL,The Haskell Company,"Jacksonville, FL",Jacksonville,FL,"5253 12th St W Jacksonville, FL 32254",https://network.procore.com/p/the-haskell-company-jacksonville-2,January 2024,,,,,,,1.0
60,THE KOKOSING GROUP OF COS.,KOKOSING,Kokosing Construction Company,"Annapolis Junction, MD",Annapolis Junction,MD,"12001 Guilford Rd Annapolis Junction, MD 20701",https://network.procore.com/p/kokosing-construction-company-annapolis-junction,September 2023,5,5,18389664,1,General Contractor,Infrastructure,1.0
61,ROBINS & MORTON,ROBINS & MORTON,robins and morton,"Dade City, FL",Dade City,FL,"14975 Douglas St Dade City, FL 33525",https://network.procore.com/p/robins-and-morton-dade-city,April 2023,6,3,25973511,1,General Contractor,Healthcare,1.0
61,ROBINS & MORTON,ROBINS & MORTON,Robins & Morton,"Huntsville, AL",Huntsville,AL,"4900 University Square Huntsville, AL 35816",https://network.procore.com/p/robins-and-morton-huntsville,May 2024,4,2,6760679,1,General Contractor,"Commercial, Industrial and Energy",1.0
61,ROBINS & MORTON,ROBINS & MORTON,Robins & Morton,"San Antonio, TX",San Antonio,TX,"9601 McAllister Fwy San Antonio, TX 78216",https://network.procore.com/p/robins-and-morton-san-antonio,December 2023,17,9,65968601,1,General Contractor,Healthcare,1.0
61,ROBINS & MORTON,ROBINS & MORTON,Robins & Morton,"San Antonio, TX",San Antonio,TX,"9601 McAllister Fwy San Antonio, TX 78216",https://network.procore.com/p/robins-and-morton-san-antonio-1,August 2025,6,3,1626731,1,General Contractor,Healthcare,1.0
61,ROBINS & MORTON,ROBINS & MORTON,Robins and Morton Group,"Fort Lauderdale, FL",Fort Lauderdale,FL,"500 N Federal Hwy Fort Lauderdale, FL 33301",https://network.procore.com/p/robins-and-morton-group-fort-lauderdale,July 2023,16,12,71203154,2,General Contractor,Healthcare,1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt Construction,"Sacramento, CA",Sacramento,CA,"2850 Gateway Oaks Dr Sacramento, CA 95833",https://network.procore.com/p/sundt-construction-sacramento,August 2024,2,2,5567567,1,General Contractor,"Commercial, Healthcare",1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt Construction,"Vancouver, WA",Vancouver,WA,"7700 NE Parkway Dr STE. 220 Vancouver, WA 98662",https://network.procore.com/p/sundt-construction-vancouver,February 2025,3,3,1000000,1,General Contractor,Infrastructure,1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt Construction,"Tempe, AZ",Tempe,AZ,"2620 S 55th St Tempe, AZ 85282",https://network.procore.com/p/sundt-construction-tempe-2,January 2024,1,1,1000000,1,General Contractor,"Commercial, Industrial and Energy",1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt Construction,"Salt Lake City, UT",Salt Lake City,UT,"1970 N Redwood Rd Salt Lake City, UT 84116",https://network.procore.com/p/sundt-construction-salt-lake-city,May 2023,1,1,43148878,1,"Engineer, General Contractor",Infrastructure,1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt Construction,"Tempe, AZ",Tempe,AZ,"2620 S 55th St Tempe, AZ 85282",https://network.procore.com/p/sundt-construction-tempe-1,January 2024,4,4,,1,General Contractor,Commercial,1.0
62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,Sundt,"Charlotte, NC",Charlotte,NC,"7730 England St Charlotte, NC 28273",https://network.procore.com/p/sundt-charlotte,April 2024,4,2,21763264,1,General Contractor,Industrial and Energy,1.0
